,amount,date,price,tid
0,2.63300000,1426937834,259.45,7789547
1,0.51873500,1426937817,259.45,7789546
2,10.50000000,1426937569,259.45,7789545
3,0.03831424,1426937568,259.45,7789544
4,0.33900000,1426937567,259.44,7789543
5,0.04890533,1426937522,259.45,7789542
6,5.71624823,1426937477,259.41,7789541
7,0.08152346,1426937477,259.42,7789540
8,0.39772075,1426937477,259.42,7789539
9,0.30300000,1426937476,259.51,7789538
10,10.50000000,1426937476,259.53,7789537
11,0.30300000,1426937476,259.54,7789536
12,2.00000000,1426937476,259.55,7789535
13,0.13579904,1426937475,259.56,7789534
14,0.30300000,1426937475,259.56,7789533
15,0.08800000,1426937449,260.40,7789530
16,2.57900000,1426937437,260.40,7789528
17,2.33300000,1426937417,260.40,7789527
18,0.02000000,1426937013,260.86,7789524
19,0.02000000,1426936927,260.74,7789523
20,0.02000000,1426936919,260.77,7789522
21,3.74534245,1426936544,260.63,7789521
22,0.37900000,1426936544,260.64,7789520
23,0.84397483,1426936544,260.64,7789519
24,0.02000000,1426936388,260.89,7789518
25,0.02000000,1426936386,260.89,7789517
26,0.19843609,1426936335,260.96,7789516
27,2.51157885,1426936265,260.97,7789515
28,0.24996880,1426936265,260.97,7789514
29,1.00000000,1426936265,260.97,7789513
30,21.53814196,1426936265,260.97,7789512
31,1.01548000,1426936264,260.96,7789511
32,0.02556000,1426936264,260.92,7789510
33,0.05000000,1426936264,260.92,7789509
34,0.08443572,1426936264,260.80,7789508
35,0.84368768,1426936264,260.74,7789507
36,2.00000000,1426936263,260.73,7789506
37,0.63374793,1426936175,260.30,7789505
38,0.86870000,1426936119,260.30,7789504
39,0.44590398,1426936056,260.00,7789503
40,1.00000000,1426936028,259.90,7789502
41,0.33314281,1426936018,259.84,7789501
42,0.96598990,1426936011,259.74,7789500
43,0.20389000,1426936010,259.74,7789499
44,0.49895824,1426935942,259.56,7789496
45,0.21698625,1426935918,259.44,7789494
46,1.12975805,1426935683,259.56,7789492
47,0.10000000,1426935681,259.55,7789491
48,0.65156418,1426935659,259.56,7789490
49,0.88615000,1426935657,259.55,7789489
50,0.64751917,1426935650,259.55,7789488
51,0.10000000,1426935647,259.55,7789482
52,0.10000000,1426935617,259.55,7789480
53,1.37971953,1426935610,259.56,7789479
54,0.30000000,1426935545,259.56,7789478
55,2.00000000,1426935511,259.56,7789477
56,2.00000000,1426935506,259.56,7789476
57,2.00000000,1426935502,259.56,7789475
58,2.00000000,1426935499,259.56,7789474
59,2.00000000,1426935493,259.56,7789473
60,2.00000000,1426935490,259.56,7789472
61,2.00000000,1426935486,259.56,7789471
62,0.02000000,1426935486,259.56,7789470
63,0.02000000,1426935482,259.56,7789469
64,2.00000000,1426935482,259.59,7789468
65,0.16463000,1426935468,259.74,7789467
66,0.02000000,1426935446,259.74,7789466
67,0.02000000,1426935432,259.74,7789465
68,0.02000000,1426935414,259.74,7789464
69,1.00000041,1426935400,259.73,7789463
70,0.60549010,1426935381,259.74,7789462
71,0.10200000,1426935381,259.69,7789461
72,1.00000000,1426935380,259.49,7789460
73,0.10000000,1426935362,259.41,7789459
74,6.25141203,1426935313,259.40,7789455
75,0.04329938,1426935313,259.39,7789454
76,0.04329938,1426935313,259.36,7789453
77,0.67467437,1426935299,259.38,7789452
78,0.07216563,1426935299,259.35,7789451
79,5.00000000,1426935284,259.40,7789450
80,0.12000000,1426935266,259.21,7789449
81,0.12000000,1426935266,259.20,7789448
82,0.46611283,1426935266,259.19,7789447
83,0.15878753,1426935266,259.00,7789446
84,16.15878753,1426935180,258.98,7789445
85,0.82277951,1426935180,258.94,7789444
86,0.12027604,1426935180,258.93,7789443
87,0.01934886,1426935173,258.93,7789442
88,0.29300000,1426935152,258.39,7789441
89,0.29300000,1426935152,258.37,7789440
90,5.83973274,1426935149,258.10,7789439
91,0.02786625,1426935148,258.10,7789438
92,1.78225000,1426935148,258.10,7789437
93,0.04643341,1426935147,258.10,7789436
94,0.07739936,1426935146,258.10,7789435
95,2.00000000,1426935145,258.10,7789434
96,2.00000000,1426935141,258.10,7789433
97,2.32500000,1426935135,258.10,7789432
98,0.12899876,1426935124,258.09,7789431
99,2.49700000,1426935123,258.10,7789430
100,0.11931824,1426935122,258.10,7789429
101,4.28500000,1426935122,258.28,7789428
102,3.88000000,1426934888,258.08,7789422
103,0.20900000,1426934888,258.11,7789421
104,2.00000000,1426934888,258.12,7789420
105,2.31100000,1426934888,258.12,7789419
106,0.02677254,1426934879,258.51,7789418
107,0.25000000,1426934879,258.50,7789417
108,0.02622746,1426934879,258.50,7789416
109,0.11263565,1426934839,258.60,7789415
110,0.11880287,1426934839,258.59,7789414
111,4.15014728,1426934829,258.13,7789413
112,3.60800000,1426934829,258.28,7789412
113,0.04285272,1426934829,258.29,7789411
114,0.19900000,1426934829,258.29,7789410
115,2.00000000,1426934829,258.29,7789409
116,1.80859466,1426934801,258.09,7789408
117,0.24900000,1426934801,258.28,7789407
118,0.94240534,1426934801,258.28,7789406
119,2.00000000,1426934801,258.29,7789405
120,2.09859466,1426934768,258.28,7789404
121,0.41500000,1426934768,258.29,7789403
122,0.41500000,1426934768,258.30,7789402
123,0.07140534,1426934768,258.31,7789401
124,2.00000000,1426934768,258.33,7789400
125,0.32410900,1426934588,258.60,7789393
126,10.00000000,1426934582,258.61,7789392
127,0.00388497,1426934545,258.44,7789390
128,0.23200000,1426934545,258.43,7789389
129,0.23200000,1426934545,258.42,7789388
130,0.23200000,1426934545,258.41,7789387
131,0.23200000,1426934545,258.40,7789386
132,2.12655431,1426934545,258.35,7789385
133,0.09857569,1426934499,258.35,7789384
134,1.29243999,1426934420,258.00,7789375
135,0.70756001,1426934420,258.02,7789374
136,4.71500000,1426934352,258.04,7789373
137,0.28500000,1426934352,258.05,7789372
138,0.70674835,1426934314,258.50,7789371
139,0.30357000,1426934314,258.35,7789370
