,amount,date,pair,price,tid,trade_type
0,0.1,1426937862,btc_usd,255.708,53273175,ask
1,0.1,1426937859,btc_usd,255.708,53273172,ask
2,0.1,1426937854,btc_usd,255.708,53273161,ask
3,0.1,1426937844,btc_usd,255.708,53273158,ask
4,0.1,1426937837,btc_usd,255.708,53273155,ask
5,0.0882,1426937781,btc_usd,255.98,53273154,bid
6,0.0131737,1426937765,btc_usd,255.939,53273153,bid
7,0.011,1426937765,btc_usd,255.807,53273152,bid
8,0.112436,1426937732,btc_usd,255.938,53273151,ask
9,0.06,1426937732,btc_usd,255.938,53273150,ask
10,0.346,1426937731,btc_usd,255.938,53273149,ask
11,0.01,1426937728,btc_usd,255.938,53273148,bid
12,0.073,1426937687,btc_usd,255.938,53273147,ask
13,0.346,1426937686,btc_usd,255.938,53273146,ask
14,0.251,1426937679,btc_usd,255.938,53273145,bid
15,0.011,1426937671,btc_usd,255.739,53273144,bid
16,0.011,1426937641,btc_usd,255.739,53273140,bid
17,0.619648,1426937627,btc_usd,255.34,53273136,ask
18,0.2025,1426937627,btc_usd,255.341,53273135,ask
19,0.011,1426937627,btc_usd,255.611,53273134,ask
20,0.08,1426937627,btc_usd,255.614,53273133,ask
21,0.0405,1426937627,btc_usd,255.615,53273132,ask
22,0.231067,1426937627,btc_usd,255.619,53273131,ask
23,0.0301392,1426937627,btc_usd,255.619,53273130,ask
24,0.399386,1426937627,btc_usd,255.619,53273129,ask
25,0.204859,1426937627,btc_usd,255.619,53273128,ask
26,0.779861,1426937481,btc_usd,255.735,53273122,bid
27,0.0191392,1426937481,btc_usd,255.735,53273120,bid
28,0.011,1426937481,btc_usd,255.73,53273117,bid
29,0.1,1426937478,btc_usd,255.938,53273114,bid
30,0.872,1426937457,btc_usd,255.735,53273105,bid
31,0.0271706,1426937453,btc_usd,255.311,53273101,ask
32,0.0100201,1426937453,btc_usd,255.4,53273100,ask
33,0.011,1426937453,btc_usd,255.443,53273099,ask
34,0.0110906,1426937453,btc_usd,255.456,53273098,ask
35,0.011,1426937453,btc_usd,255.472,53273097,ask
36,0.00370244,1426937453,btc_usd,255.5,53273096,ask
37,0.011,1426937453,btc_usd,255.77,53273095,ask
38,0.0150163,1426937453,btc_usd,255.771,53273094,ask
39,0.2,1426937443,btc_usd,255.939,53273093,bid
40,0.0774665,1426937356,btc_usd,256.189,53273091,ask
41,0.010002,1426937303,btc_usd,256.19,53273088,bid
42,2,1426937287,btc_usd,256.189,53273076,ask
43,0.0201,1426937281,btc_usd,256,53273075,bid
44,0.053205,1426937278,btc_usd,255.506,53273071,bid
45,0.453355,1426937277,btc_usd,255.508,53273068,ask
