,amount,date,price,tid
0,0.01000000,1426930823,256.593,282629
1,0.01100000,1426930823,256.6412,282628
2,0.01300000,1426930823,256.6908,282627
3,0.00600000,1426930823,256.7388,282626
4,0.00600000,1426930800,256.7388,282625
5,0.01000000,1426930800,256.7852,282624
6,0.01200000,1426930800,256.83,282623
7,0.01200000,1426930800,256.8733,282622
8,1.01680361,1426929127,258.1299,282621
9,0.01200000,1426928199,257.9918,282620
10,0.23201900,1426926822,258.0384,282619
11,0.77356703,1426926756,258.0384,282618
12,0.02269560,1426926552,258.0384,282617
13,0.01200000,1426926058,256.4392,282616
14,0.01100000,1426926058,256.5455,282615
15,0.08679090,1426926058,257,282614
16,0.66800001,1426926058,257,282613
17,0.08476693,1426926058,257,282612
18,0.04000000,1426926037,257,282611
19,0.04000000,1426926023,257,282610
20,0.01100000,1426926016,257.9698,282609
21,0.01800000,1426926016,257.9171,282608
22,0.01500000,1426926016,257.8662,282607
23,0.02300000,1426926016,257.8222,282606
24,0.01800000,1426926016,257.7796,282605
25,0.01400000,1426926016,257.7386,282604
26,0.01100000,1426926016,257.714,282603
27,0.01700001,1426926016,257.6752,282602
28,0.01000000,1426926016,257.6527,282601
29,0.01200000,1426926016,257.6309,282600
30,0.01300000,1426926016,257.6099,282599
31,0.01700001,1426926016,257.5896,282598
32,0.01200000,1426926016,257.5699,282597
33,0.01500000,1426926016,257.5509,282596
34,0.01300000,1426925519,257.5509,282595
35,0.05517490,1426920544,256.39,282594
36,0.02235903,1426920520,256.39,282593
37,0.01000000,1426920285,257.0705,282592
38,0.01100000,1426920285,257.0475,282591
39,0.00176469,1426920019,256.3602,282590
40,0.01100000,1426920019,256.3795,282589
41,0.01300000,1426920019,256.4018,282588
42,0.02500000,1426919770,257.0943,282587
43,0.59805447,1426919636,257,282586
44,0.55120644,1426919537,256.9999,282585
45,0.01300000,1426919537,256.9787,282584
46,0.01700001,1426919537,256.9581,282583
47,0.03300000,1426919537,256.9382,282582
48,0.50000000,1426918825,257,282581
49,0.29469276,1426918825,257,282580
50,0.01100000,1426918825,257.0453,282579
51,0.02000000,1426918825,257.0936,282578
52,0.20000000,1426918650,258,282577
53,0.02300000,1426918650,258.0155,282576
54,0.01000000,1426918616,259.3953,282575
55,0.01900000,1426918616,259.463,282574
56,0.01100000,1426918616,259.521,282573
57,0.03752882,1426918616,259.5457,282572
58,0.01300000,1426918616,259.608,282571
59,0.02000000,1426918616,259.6645,282570
60,0.01000000,1426918616,259.71,282569
61,0.01200000,1426918616,259.7958,282568
62,0.01300000,1426918616,259.8441,282567
63,0.01200000,1426918616,259.9021,282566
64,0.01000000,1426918616,259.9408,282565
65,0.01400000,1426918616,259.9794,282564
66,0.01113138,1426918600,260,282563
67,0.01200000,1426918600,260.0181,282562
68,0.01100000,1426918600,260.0761,282561
69,0.02000000,1426918600,260.1148,282560
70,0.01500000,1426918600,260.1438,282559
71,0.02200000,1426918600,260.1728,282558
72,0.01300000,1426918600,260.2018,282557
73,0.01600000,1426918600,260.2308,282556
74,0.01400000,1426918600,260.2598,282555
75,0.01200000,1426918600,260.2888,282554
76,0.01300000,1426918600,260.3178,282553
77,0.01200000,1426918600,260.3784,282552
78,3.08570636,1426918600,260.39,282551
79,0.12699241,1426918591,260.39,282550
80,0.05987000,1426918578,260.39,282549
81,0.01900750,1426918499,260.39,282548
82,0.08583443,1426918200,260.39,282547
83,0.01197000,1426918082,260.39,282546
84,0.06685457,1426917849,260.39,282545
85,0.11119695,1426917466,260.39,282544
86,0.07377275,1426917432,260.39,282543
87,0.01000000,1426917421,260.4074,282542
88,0.01100000,1426916818,260.4074,282541
89,0.02610202,1426916113,260.39,282540
90,0.01200000,1426915718,260.4074,282539
91,0.01000000,1426915188,260.4074,282538
92,0.01100000,1426914563,260.4074,282537
93,0.01895011,1426914480,260.39,282536
94,0.01300000,1426914021,260.4074,282535
95,0.01100000,1426913820,260.4074,282534
96,0.01200000,1426913495,260.4074,282533
97,0.03046526,1426913474,260.39,282532
98,0.02305601,1426913406,260.39,282531
99,0.01000000,1426913380,260.4074,282530
100,0.02186807,1426913246,260.39,282529
101,0.01300000,1426912776,260.4074,282528
102,0.01300000,1426912308,260.4074,282527
103,0.01549838,1426912178,260.39,282526
104,0.01300000,1426912017,260.4074,282525
105,0.01077415,1426911119,260.36,282524
106,0.01409867,1426911108,260.36,282523
107,0.01295254,1426910973,260.36,282522
108,0.00050000,1426910816,260.9112,282521
109,0.01000000,1426910816,260.8698,282520
110,0.01000000,1426910816,260.8328,282519
111,0.08000000,1426909823,260.36,282518
