,amount,date,price,tid
0,0.61468719,1426866191,262.52,7784520
1,0.16986338,1426866123,262.52,7784519
2,0.27400000,1426866086,262.52,7784518
3,0.62658083,1426866061,262.52,7784517
4,0.46060615,1426866048,262.34,7784512
5,1.93160282,1426866007,262.34,7784505
6,0.03419989,1426866007,262.35,7784504
7,0.03419729,1426866007,262.37,7784503
8,0.07300000,1426866007,262.52,7784502
9,0.42420000,1426865948,262.52,7784501
10,0.18300000,1426865908,262.52,7784500
11,0.49871901,1426865850,262.34,7784499
12,0.05700999,1426865850,262.35,7784498
13,0.20101000,1426865840,262.52,7784497
14,0.02860000,1426865815,262.52,7784496
15,0.17505860,1426865805,262.52,7784495
16,6.02641449,1426865706,262.33,7784483
17,3.70674818,1426865706,262.34,7784482
18,0.50000000,1426865596,262.68,7784481
19,0.06000000,1426865522,262.68,7784480
20,0.29011802,1426865517,262.68,7784479
21,0.09501010,1426865499,262.34,7784478
22,0.29504206,1426865499,262.45,7784477
23,1.13415052,1426865489,262.69,7784476
24,0.00066366,1426865468,262.45,7784475
25,0.83695295,1426865467,262.54,7784474
26,2.00000000,1426865467,262.55,7784473
27,0.73000000,1426865411,262.70,7784469
28,0.01920000,1426865382,262.52,7784468
29,9.73353652,1426865344,262.46,7784467
30,0.92568802,1426865194,262.46,7784466
31,2.48700000,1426865150,262.46,7784463
32,0.07390182,1426865120,262.46,7784461
33,0.02382546,1426865120,262.46,7784460
34,0.11723934,1426865109,262.46,7784459
35,0.12316970,1426865103,262.45,7784458
36,0.28647700,1426864861,262.22,7784457
37,0.41026619,1426864840,262.22,7784450
38,1.97306546,1426864800,261.59,7784449
39,0.02693454,1426864800,261.83,7784448
40,0.92568802,1426864710,261.28,7784447
41,4.00100000,1426864709,261.30,7784446
42,1.49586773,1426864709,261.32,7784445
43,3.99946924,1426864709,261.35,7784444
44,0.45047630,1426864709,261.39,7784443
45,5.00000000,1426864709,261.42,7784442
46,4.22000000,1426864708,261.50,7784441
47,0.01920000,1426864708,261.50,7784440
48,3.84105844,1426864708,261.50,7784439
49,0.13486807,1426864708,261.51,7784438
50,0.20133968,1426864708,261.66,7784437
51,0.72611000,1426864708,261.67,7784436
52,0.05000000,1426864708,261.68,7784435
53,0.25900000,1426864708,261.81,7784434
54,5.13784805,1426864707,261.81,7784433
55,0.85081000,1426864707,261.84,7784432
56,0.02868000,1426864707,261.88,7784431
57,10.50000000,1426864707,261.91,7784430
58,0.13465694,1426864707,261.92,7784429
59,0.83865207,1426864706,262.31,7784428
60,15.18527546,1426864705,262.31,7784427
61,0.01980000,1426864700,262.66,7784426
62,0.02861000,1426864689,262.66,7784425
63,0.01980000,1426864685,262.66,7784424
64,0.01980000,1426864680,262.66,7784423
65,0.19800000,1426864655,262.66,7784422
66,0.39700000,1426864650,262.67,7784421
67,0.39700000,1426864645,262.67,7784420
68,0.79400000,1426864640,262.67,7784419
69,0.39700000,1426864635,262.67,7784418
70,1.27995440,1426864631,262.67,7784417
71,0.39700000,1426864620,262.66,7784416
72,0.39700000,1426864615,262.66,7784415
73,0.39700000,1426864610,262.66,7784414
74,0.39700000,1426864605,262.66,7784413
75,0.39700000,1426864600,262.67,7784412
76,0.21479000,1426864595,262.69,7784411
77,0.18221000,1426864595,262.68,7784410
78,0.39700000,1426864590,262.68,7784409
79,0.39700000,1426864585,262.68,7784408
80,0.39700000,1426864580,262.68,7784407
81,0.39700000,1426864575,262.68,7784406
82,0.39700000,1426864570,262.69,7784405
83,0.39700000,1426864560,262.69,7784404
84,0.39700000,1426864555,262.69,7784403
85,0.39700000,1426864550,262.69,7784402
86,0.39700000,1426864545,262.69,7784401
87,0.60569493,1426864510,262.69,7784400
88,0.04948799,1426864497,262.69,7784399
89,0.27654962,1426864434,262.69,7784398
