,amount,date,price,tid
0,0.41300000,1426874050,260.00,7785421
1,0.34273422,1426874025,260.00,7785420
2,0.07206000,1426874005,260.00,7785419
3,2.00000000,1426874001,259.96,7785418
4,0.02107000,1426873961,259.96,7785417
5,0.50835800,1426873928,259.95,7785416
6,1.40000000,1426873928,259.95,7785415
7,0.17195854,1426873895,259.95,7785414
8,1.00000000,1426873895,259.95,7785413
9,0.14889976,1426873863,259.94,7785412
10,0.02562719,1426873862,259.94,7785411
11,1.00000000,1426873842,260.00,7785404
12,0.40400000,1426873792,260.00,7785402
13,2.25098700,1426873772,260.00,7785401
14,0.02000000,1426873761,259.95,7785400
15,0.93930000,1426873726,260.00,7785399
16,2.82183900,1426873716,260.00,7785398
17,0.42000000,1426873648,260.00,7785397
18,0.24682214,1426873635,260.00,7785396
19,0.09854980,1426873617,260.00,7785395
20,0.78414726,1426873582,260.00,7785394
21,0.78134391,1426873562,260.00,7785393
22,0.20292011,1426873534,260.00,7785385
23,0.55200000,1426873526,260.00,7785384
24,2.92576923,1426873443,260.00,7785383
25,0.17210847,1426873438,260.00,7785382
26,0.02789153,1426873438,259.99,7785381
27,0.20000000,1426873432,260.00,7785380
28,4.87873502,1426873430,260.00,7785379
29,0.02789153,1426873430,259.99,7785378
30,0.09999117,1426873430,260.00,7785377
31,0.04648588,1426873429,259.99,7785376
32,0.02000000,1426873426,259.99,7785375
33,0.07747646,1426873425,259.99,7785374
34,0.12912743,1426873424,259.99,7785373
35,0.13399693,1426873223,259.98,7785367
36,0.09968000,1426873222,260.06,7785366
37,0.10614774,1426873200,260.06,7785365
38,0.09955700,1426873128,260.06,7785364
39,0.16426230,1426873114,260.06,7785363
40,0.28917932,1426873019,260.06,7785362
41,0.75760000,1426872989,260.06,7785361
42,0.13094565,1426872974,260.06,7785360
43,0.05097150,1426872945,260.01,7785357
44,0.39915187,1426872912,259.98,7785355
45,0.04962000,1426872812,259.98,7785354
46,0.03000000,1426872802,259.97,7785353
47,0.03000000,1426872775,259.97,7785352
48,1.18720000,1426872770,259.98,7785351
49,0.03000000,1426872758,259.97,7785350
50,0.02000000,1426872758,259.98,7785349
51,0.03000000,1426872750,259.97,7785348
52,0.02000000,1426872746,259.98,7785347
53,0.03000000,1426872743,259.97,7785346
54,0.03000000,1426872738,259.97,7785345
55,0.03000000,1426872731,259.97,7785344
