,amount,date,pair,price,tid,trade_type
0,0.011,1426931755,btc_usd,253.823,53271579,ask
1,0.00004,1426931726,btc_usd,254.379,53271578,bid
2,0.01996,1426931726,btc_usd,254.378,53271577,bid
3,1.50468,1426931566,btc_usd,254.385,53271574,bid
4,0.01,1426931566,btc_usd,254.27,53271573,bid
5,0.0101,1426931566,btc_usd,254.244,53271572,bid
6,0.0101,1426931566,btc_usd,254.244,53271571,bid
7,0.01,1426931566,btc_usd,254.15,53271570,bid
8,0.0527946,1426931566,btc_usd,254.149,53271569,bid
9,0.01,1426931566,btc_usd,254.02,53271568,bid
10,0.010978,1426931566,btc_usd,253.808,53271567,bid
11,0.011,1426931566,btc_usd,253.545,53271566,bid
12,0.0101624,1426931566,btc_usd,253.544,53271565,bid
13,0.116458,1426931566,btc_usd,253.544,53271564,bid
14,0.0548417,1426931565,btc_usd,253.544,53271563,bid
15,0.01,1426931405,btc_usd,253.699,53271555,bid
16,0.0100192,1426931389,btc_usd,253.7,53271551,bid
17,0.0101,1426931389,btc_usd,253.7,53271550,bid
18,0.0298808,1426931389,btc_usd,253.085,53271549,bid
19,0.01,1426931389,btc_usd,253,53271548,bid
20,7.03916,1426931389,btc_usd,253,53271547,bid
21,4,1426931388,btc_usd,253,53271546,bid
22,1.91657,1426931382,btc_usd,253,53271544,bid
23,0.033,1426931380,btc_usd,253,53271542,bid
24,0.334,1426931379,btc_usd,253,53271541,bid
25,0.287,1426931378,btc_usd,253,53271540,bid
26,0.327,1426931377,btc_usd,253,53271539,bid
27,0.08585,1426931377,btc_usd,253,53271538,bid
28,0.031,1426931377,btc_usd,253,53271537,bid
29,0.03,1426931374,btc_usd,253,53271535,bid
30,0.923275,1426931370,btc_usd,253,53271533,bid
31,3.41158,1426931347,btc_usd,253,53271531,bid
32,0.1,1426931345,btc_usd,253,53271530,bid
33,0.02,1426931335,btc_usd,253,53271529,bid
34,0.032,1426931333,btc_usd,253,53271527,bid
35,1,1426931319,btc_usd,253,53271525,bid
36,2.008,1426931307,btc_usd,253,53271522,bid
37,5,1426931299,btc_usd,253,53271519,bid
38,1.38228,1426931291,btc_usd,253,53271518,bid
39,10.0245,1426931290,btc_usd,253,53271517,bid
40,6.24039,1426931287,btc_usd,253,53271516,bid
41,2.63395,1426931287,btc_usd,253,53271515,bid
42,0.0405,1426931287,btc_usd,252.999,53271514,bid
43,0.079,1426931284,btc_usd,253,53271513,bid
44,0.2063,1426931284,btc_usd,252.679,53271512,ask
45,2.008,1426931232,btc_usd,253,53271509,bid
46,15.3622,1426931215,btc_usd,253,53271506,bid
47,6.58382,1426931214,btc_usd,253,53271505,bid
