,amount,date,date_ms,price,tid,type
0,0.01,1426937381,1426937381000,258.55,5823477,sell
1,2.43,1426937388,1426937388000,258.69,5823490,sell
2,1.083,1426937399,1426937399000,258.55,5823510,sell
3,0.27,1426937408,1426937408000,258.65,5823525,sell
4,1.54,1426937425,1426937425000,258.63,5823547,sell
5,1.35,1426937445,1426937445000,258.57,5823565,sell
6,0.99,1426937459,1426937459000,258.54,5823578,sell
7,0.44,1426937478,1426937478000,258.27,5823606,buy
8,0.52,1426937494,1426937494000,258.25,5823625,sell
9,0.11,1426937509,1426937509000,258.26,5823643,buy
10,1.09,1426937529,1426937529000,258.18,5823671,buy
11,1.83,1426937540,1426937540000,258.21,5823682,buy
12,0.96,1426937555,1426937555000,258.20,5823699,buy
13,5.1,1426937567,1426937567000,258.37,5823720,sell
14,0.321,1426937590,1426937590000,258.31,5823761,buy
15,1.1,1426937590,1426937590000,258.31,5823763,buy
16,1.829,1426937590,1426937590000,258.32,5823765,buy
17,0.189,1426937603,1426937603000,257.94,5823779,sell
18,5.56,1426937603,1426937603000,257.93,5823781,sell
19,0.189,1426937603,1426937603000,257.80,5823783,sell
20,6.542,1426937604,1426937604000,257.77,5823785,sell
21,0.446,1426937604,1426937604000,257.58,5823787,sell
22,1.7,1426937604,1426937604000,257.51,5823789,sell
23,1.394,1426937604,1426937604000,257.47,5823791,sell
24,3.267,1426937604,1426937604000,257.31,5823793,sell
25,4.868,1426937604,1426937604000,257.20,5823795,sell
26,1.107,1426937604,1426937604000,257.06,5823797,sell
27,13.872,1426937604,1426937604000,256.92,5823799,sell
28,3.564,1426937604,1426937604000,256.78,5823801,sell
29,16.848,1426937604,1426937604000,256.60,5823803,sell
30,12.066,1426937604,1426937604000,256.48,5823805,sell
31,1.1,1426937606,1426937606000,257.96,5823812,sell
32,1.2,1426937606,1426937606000,257.95,5823814,sell
33,0.34,1426937606,1426937606000,257.95,5823816,sell
34,10.049,1426937621,1426937621000,257.53,5823843,sell
35,0.81,1426937632,1426937632000,257.53,5823856,sell
36,1.4,1426937648,1426937648000,257.62,5823869,sell
37,0.35,1426937666,1426937666000,257.58,5823885,buy
38,1.1,1426937666,1426937666000,257.59,5823887,buy
39,2.48,1426937666,1426937666000,257.60,5823889,buy
40,4.96,1426937677,1426937677000,257.94,5823900,sell
41,1,1426937683,1426937683000,258.33,5823917,buy
42,0.175,1426937695,1426937695000,258.32,5823928,buy
43,0.7,1426937695,1426937695000,258.33,5823930,buy
44,1.1,1426937695,1426937695000,258.33,5823932,buy
45,0.025,1426937695,1426937695000,258.34,5823934,buy
46,1.05,1426937696,1426937696000,257.91,5823936,sell
47,1.1,1426937708,1426937708000,258.14,5823957,sell
48,0.263,1426937708,1426937708000,258.13,5823959,sell
49,2.007,1426937708,1426937708000,258.12,5823961,sell
50,0.23,1426937721,1426937721000,258.23,5823976,buy
51,0.35,1426937736,1426937736000,257.98,5823992,buy
52,0.72,1426937752,1426937752000,257.94,5824011,sell
53,1.26,1426937771,1426937771000,257.99,5824018,sell
54,0.86,1426937782,1426937782000,257.95,5824039,buy
55,0.02,1426937800,1426937800000,257.86,5824062,sell
56,0.42,1426937816,1426937816000,257.84,5824079,sell
57,1.17,1426937829,1426937829000,257.92,5824095,sell
58,0.16,1426937843,1426937843000,257.95,5824122,buy
59,0.81,1426937865,1426937865000,257.90,5824155,sell
